[00:00] はい、どうももつきです。
[06:09] なかなかいないです。
[06:10] やってたら、
[06:11] それは、
[06:12] 次元が高い方の、
[06:13] もう、
[06:14] イメージです。
[06:15] でも、それをやっているってことは、
[06:16] 人生が確実に
[06:17] 交転しているはずなんで、
[06:19] あ、自分は大丈夫だな、
[06:20] ってのが分かると思います。
[06:21] そうなっていない方。
[06:23] 目の前の、
[06:24] ちっちゃな引き寄せを
[06:25] いっぱい起こしているけど、
[06:26] なんか、
[06:27] 人生単位を大きく
[06:28] 変えるような引き寄せが
[06:29] できていないなって
[06:30] 思った方は、
[06:31] これは確実に、
[06:32] 30ポイント以上
[06:33] 取っている方は、
[06:34] 確実に、
[06:35] オーダー肩です。
[06:36] これは、
[06:37] オーダーの質が低い、
[06:38] とか、
[06:39] あとは、
[06:40] 望みのレベルが低い。
[06:41] そして、
[06:42] オーダーすることに依存して、
[06:43] 自力で頑張る部分が
[06:45] なくなっちゃっているってことなんですよ。
[06:46] 自力で頑張るっていうのは
[06:47] 送信と受信です。
[06:48] エネルギー。
[06:49] そういった自分が、
[06:50] 形にするところを
[06:51] こう、
[06:52] 怠っている可能性があるんですよね。
[06:54] だから、
[06:55] 簡単な引き寄せに
[06:56] 修着しちゃったりとか、
[06:57] 書いて、
[06:58] 見直して、
[06:59] 何度も書いて見直して、
[07:00] これは、
[07:01] ノートに修着している状態。
[07:02] なので、
[07:03] 本当にね、
[07:04] 20個以上は
[07:05] 小さなオーダーを仕ちゃっているな、
[07:06] っていう人は、
[07:07] 1ヶ月でね。
[07:08] これは、逆に、
[07:09] やり過ぎ、
[07:10] 運動し過ぎて、
[07:11] 筋肉拾う、
[07:12] みたいな感じ。
[07:13] ご飯食べ過ぎて、
[07:14] ヒマン、
[07:15] みたいな状態です。
[07:16] ただ、
[07:17] その中の、
[07:18] 半分以上が、
[07:19] 大きな、
[07:20] 寄与性による、
[07:21] もののポイントだったら、
[07:22] 全然バランスはいいので、
[07:23] そこは、
[07:24] 安心していただきたいと思います。
[07:25] ただね、
[07:26] 人生があまり動いていないな、
[07:27] っていう場合は、
[07:28] 確実に、
[07:29] 僕も注意してみてください。
[07:30] なので、
[07:31] ベストだなと思うのは、
[07:32] 10から20ポイントの間。
[07:35] できれば、
[07:36] 小さな引き寄せ5個、
[07:37] 大きな引き寄せ3個、
[07:39] 家変えて、
[07:40] パートナー変えて、
[07:41] 仕事変えたら、
[07:42] 人生狂っちゃう。
[07:43] 狂っちゃうというか、
[07:44] いい意味で、
[07:45] 周波数が爆裂しちゃうんで、
[07:46] だいたい、
[07:47] 僕も大きな引き寄せは、
[07:48] 月に1個とか、
[07:50] 2ヶ月に、
[07:51] そうですね、
[07:52] 1個っていうのを
[07:53] ずっと続けていくケースが
[07:55] 結構多いです。
[07:56] というところでね、
[07:57] だいたい、
[07:58] 5ポイント取れてれば、
[07:59] 全然オッケー。
[08:00] 5ポイント取れてても、
[08:01] 全然、
[08:02] エクスサイズとしては
[08:03] いいですよ、
[08:04] ということを
[08:05] お伝えしておきました。
[08:06] なので、
[08:07] これをね、
[08:08] 正規的に、
[08:09] この動画を見返して、
[08:10] あ、そっか。
[08:11] 自分のオーダーの
[08:12] 成績、
[08:13] どうなってるかな、
[08:14] っていうのを、
[08:15] 真直をね、
[08:16] 確認してみてください。
[08:17] ぜひ良かったら、
[08:18] コメントで、
[08:19] 新たの直近1ヶ月の、
[08:20] もしくは3ヶ月の
[08:21] 平均の、
[08:22] 毎月の、
[08:23] 毎月ですよ。
[08:24] 毎月の、
[08:25] 別に30点だって、
[08:26] なんか、
[08:27] 言ってもいいんですよ。
[08:28] 0点、
[08:29] 5点って言ってもいいんですよ。
[08:30] そこは、
[08:31] せむびしないでください。
[08:32] ちっちゃな、
[08:33] 引き寄せなのに、
[08:34] 大きな引き寄せだと
[08:35] 勘違いしてると、
[08:36] それね、
[08:37] そこが逆に、
[08:38] あんまり、
[08:39] 悪いと思われたくないな、
[08:40] とか、
[08:41] 見えとか、
[08:42] 英語になってくるので、
[08:43] そういったもの、
[08:44] 全部捨てて、
[08:45] セキラナにダメなら
[08:46] ダメって、
[08:47] 認めて、
[08:48] どうしたら修正していけるのか、
[08:49] ってことを考えましょう。
[08:50] ということで、
[08:51] 今日は、
[08:52] 以上です。
